,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,new_addition
0,thumbor,thumbor/thumbor,thumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/thumbor,https://github.com/thumbor/thumbor,MIT,2011-03-16 17:30:05,2022-01-23 23:16:37,2022-01-23 19:43:05,2259,37.0,744.0,198,530.0,100.0,766.0,8747.0,2022-01-22 23:48:19,6.7.6,96,thumbor is an open-source photo thumbnail service by globo.com.,491.0,290.0,166.0,33,https://pypi.org/project/thumbor,2022-01-22 21:19:32,201.0,6482,6482,True,1,
1,libthumbor,thumbor/libthumbor,libthumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/libthumbor,https://github.com/thumbor/libthumbor,MIT,2011-03-30 17:31:59,2020-11-26 10:42:18,2020-02-29 15:53:45,136,,33.0,23,30.0,4.0,12.0,55.0,2020-02-29 16:02:27,2.0.1,20,Pythons extensions to thumbor. These are used to generate safe urls among others.,109.0,,17.0,19,https://pypi.org/project/libthumbor,2020-02-29 15:54:13,109.0,11680,11680,False,3,
2,remotecv,thumbor/remotecv,remotecv,"['python3', 'thumbor7']",detectors,https://github.com/thumbor/remotecv,https://github.com/thumbor/remotecv,MIT,2012-01-04 12:09:00,2022-01-13 02:22:40,2020-03-05 22:38:01,110,,27.0,28,22.0,10.0,6.0,82.0,2020-03-05 22:41:50,3.0.0,30,remotecv is an OpenCV server for facial and feature recognition.,30.0,24.0,10.0,17,https://pypi.org/project/remotecv,2020-03-05 22:41:50,6.0,892,892,False,1,
3,django-thumbor,ricobl/django-thumbor,django-thumbor,"['python3', 'thumbor7']",url-and-framework,https://github.com/ricobl/django-thumbor,https://github.com/ricobl/django-thumbor,MIT,2012-12-16 20:27:56,2021-12-14 08:09:33,2021-12-14 08:09:28,109,4.0,19.0,2,14.0,2.0,8.0,87.0,2017-12-10 16:34:38,0.5.7,12,A django app with templatetags for resizing images with thumbor.,27.0,20.0,7.0,15,https://pypi.org/project/django-thumbor,2017-12-10 16:34:38,7.0,1980,1980,True,1,
4,thumbor_dash,mayoreee/thumbor_dash,thumbor_dash,"['python3', 'thumbor7']",url-and-framework,https://github.com/mayoreee/thumbor_dash,https://github.com/mayoreee/thumbor_dash,MIT,2021-05-12 21:47:58,2021-11-18 21:26:35,2021-11-18 21:26:35,227,25.0,2.0,1,40.0,1.0,,2.0,2021-11-18 19:33:11,0.0.19,20,A Thumbor server extension for DASH.,,,3.0,11,https://pypi.org/project/thumbor_dash,2021-11-18 19:33:11,,95,95,True,3,
5,thumbor-aws,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",storage-and-result-storage,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2022-01-23 21:16:01,2022-01-23 21:09:55,23,23.0,1.0,4,1.0,1.0,1.0,,2022-01-23 17:29:15,0.3.0,4,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,,10,https://pypi.org/project/thumbor-aws,2022-01-23 21:16:01,,63,63,True,1,
6,thumbor-icc,znerol/thumbor-icc,mg-thumbor,"['python3', 'thumbor7']",filters,https://github.com/znerol/thumbor-icc,https://github.com/znerol/thumbor-icc,MIT,2016-04-19 13:35:49,2020-06-30 13:25:48,2020-06-30 13:23:39,17,,,3,1.0,,,3.0,2017-08-21 20:31:57,0.2.0,4,Thumbor filter to convert between ICC profiles.,,,,8,https://pypi.org/project/mg-thumbor,2017-08-21 20:31:57,,29,29,False,1,True
7,thumbor-expire,HonQii/thumbor-expire,thumbor-expire,"['python3', 'thumbor7']",url-signers,https://github.com/HonQii/thumbor-expire,https://github.com/HonQii/thumbor-expire,MIT,2021-04-21 10:23:54,2021-05-09 05:30:13,2021-05-09 05:28:44,9,,,2,,,,1.0,2021-05-09 05:30:13,0.1.3,4,Add timeout verification for thumbor.,,,,7,https://pypi.org/project/thumbor-expire,2021-05-09 05:30:13,,15,15,True,1,
8,thumbor-multidir,benneic/thumbor_multidir,thumbor-multidir,[],storage-and-result-storage,https://github.com/benneic/thumbor_multidir,https://github.com/benneic/thumbor_multidir,MIT,2020-02-13 05:05:54,2020-02-17 23:58:13,2020-02-17 23:57:53,11,,,1,,,,,2020-02-17 23:58:13,0.2.8,9,Thumbor file loader plugin that search multiple paths on disk.,,,,7,https://pypi.org/project/thumbor-multidir,2020-02-17 23:58:13,,47,47,False,3,
9,thumbor-aliases,dgarana/thumbor-aliases,thumbor-aliases,['tc'],url-and-framework,https://github.com/dgarana/thumbor-aliases,https://github.com/dgarana/thumbor-aliases,MIT,2019-02-18 23:37:13,2019-06-16 14:42:58,2019-06-16 14:42:20,19,,1.0,2,1.0,2.0,1.0,,2019-02-18 23:45:57,0.0.3,3,Thumbor URL Aliases.,,,4.0,7,https://pypi.org/project/thumbor-aliases,2019-02-18 23:45:57,,13,13,False,3,
10,mg_thumbor,MindGeekOSS/mg_thumbor,mg-thumbor,[],filters,https://github.com/MindGeekOSS/mg_thumbor,https://github.com/MindGeekOSS/mg_thumbor,MIT,2017-08-18 21:27:28,2017-08-21 20:31:57,2017-08-21 20:31:18,6,,,7,,,,,2017-08-21 20:31:57,0.2.0,4,A filter for clipping images differently than what thumbor does.,,,2.0,7,https://pypi.org/project/mg-thumbor,2017-08-21 20:31:57,,29,29,False,3,
11,thumbor_arcface,lanrenwo/thumbor_arcface,thumbor-arcface,"['python3', 'thumbor7']",detectors,https://github.com/lanrenwo/thumbor_arcface,https://github.com/lanrenwo/thumbor_arcface,MIT,2021-03-29 05:54:25,2021-04-06 06:07:47,2021-03-31 09:26:02,15,,,1,,,,1.0,2021-04-06 06:07:47,0.1.4,5,"Thumbor ArcFace can recognize side faces, higher recognition rate.",,,,6,https://pypi.org/project/thumbor-arcface,2021-03-31 09:29:29,,22,22,True,3,
12,thumbor_head,torsdag/thumbor_head,thumbor_head,[],storage-and-result-storage,https://github.com/torsdag/thumbor_head,https://github.com/torsdag/thumbor_head,,2017-02-23 13:52:14,2017-02-27 13:01:38,2017-02-27 13:00:30,3,,,1,,1.0,,,2017-02-27 13:01:38,0.1.1,2,Allow checking of http status code for all requests even if cached.,,,,5,https://pypi.org/project/thumbor_head,2017-02-27 13:01:38,,5,5,False,3,
