,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_monthly_downloads,new_addition,github_release_downloads,docs_url,npm_dependent_project_count
0,thumbor,thumbor/thumbor,thumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/thumbor,https://github.com/thumbor/thumbor,MIT,2011-03-16 17:30:05,2022-01-24 01:17:42.000,2022-01-23 19:43:05,2259.0,37.0,744.0,198.0,531.0,100.0,766.0,8747.0,2022-01-22 23:48:19.000,6.7.6,96,thumbor is an open-source photo thumbnail service by globo.com.,491.0,290.0,166.0,33,https://pypi.org/project/thumbor,2022-01-22 21:19:32,201.0,6482.0,6482,True,1,,,,,,,,,
1,gatsby-plugin-thumbor,vtex/faststore,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/vtex/faststore,https://github.com/vtex/faststore,MIT,2020-06-15 23:40:50,2022-01-22 03:14:26.000,2022-01-17 19:59:11,3038.0,170.0,14.0,108.0,837.0,70.0,210.0,81.0,2022-01-17 19:59:20.234,1.4.18,219,Digital commerce toolkit for frontend developers.,15.0,15.0,58.0,26,,,,,10539,True,1,https://github.com/vtex/faststore/tree/master/packages/gatsby-plugin-thumbor,@vtex/gatsby-plugin-thumbor,https://www.npmjs.com/package/@vtex/gatsby-plugin-thumbor,2022-01-17 19:59:20.234,10539.0,True,,,
2,thumbor-plugins,thumbor/thumbor-plugins,thumbor-plugins,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2019-12-24 02:34:05.000,2019-12-24 02:31:18,71.0,,744.0,18.0,22.0,7.0,10.0,8747.0,2019-12-24 02:34:05.000,0.2.4,6,Optimizers and filters contributed by the Thumbor community.,11.0,7.0,11.0,19,https://pypi.org/project/thumbor-plugins,2019-12-24 02:34:05,4.0,167.0,167,False,1,,,,,,,,,
3,libthumbor,thumbor/libthumbor,libthumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/libthumbor,https://github.com/thumbor/libthumbor,MIT,2011-03-30 17:31:59,2020-11-26 10:42:18.000,2020-02-29 15:53:45,136.0,,33.0,23.0,30.0,4.0,12.0,55.0,2020-02-29 16:02:27.000,2.0.1,20,Pythons extensions to thumbor. These are used to generate safe urls among others.,109.0,,17.0,19,https://pypi.org/project/libthumbor,2020-02-29 15:54:13,109.0,11680.0,11680,False,3,,,,,,,,,
4,tc_aws.storage,thumbor-community/aws,tc_aws,[],storage-and-result-storage,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2020-10-28 05:12:38.000,2020-03-16 10:07:44,238.0,,67.0,13.0,60.0,14.0,78.0,143.0,2020-03-16 10:10:05.000,6.2.15,40,Thumbor AWS extensions.,5.0,,34.0,17,https://pypi.org/project/tc_aws,2018-10-17 11:40:22,5.0,926.0,926,False,1,,,,,,,8.0,,
5,tc_aws.loaders,thumbor-community/aws,tc_aws,[],loaders,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2020-10-28 05:12:38.000,2020-03-16 10:07:44,238.0,,67.0,13.0,60.0,14.0,78.0,143.0,2020-03-16 10:10:05.000,6.2.15,40,Thumbor AWS extensions.,5.0,,34.0,17,https://pypi.org/project/tc_aws,2018-10-17 11:40:22,5.0,926.0,926,False,1,,,,,,,8.0,,
6,remotecv,thumbor/remotecv,remotecv,"['python3', 'thumbor7']",detectors,https://github.com/thumbor/remotecv,https://github.com/thumbor/remotecv,MIT,2012-01-04 12:09:00,2022-01-13 02:22:40.000,2020-03-05 22:38:01,110.0,,27.0,28.0,22.0,10.0,6.0,82.0,2020-03-05 22:41:50.000,3.0.0,30,remotecv is an OpenCV server for facial and feature recognition.,30.0,24.0,10.0,17,https://pypi.org/project/remotecv,2020-03-05 22:41:50,6.0,892.0,892,False,1,,,,,,,,,
7,django-thumbor,ricobl/django-thumbor,django-thumbor,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/ricobl/django-thumbor,https://github.com/ricobl/django-thumbor,MIT,2012-12-16 20:27:56,2021-12-14 08:09:33.000,2021-12-14 08:09:28,109.0,4.0,19.0,2.0,14.0,2.0,8.0,87.0,2017-12-10 16:34:38.000,0.5.7,12,A django app with templatetags for resizing images with thumbor.,27.0,20.0,7.0,15,https://pypi.org/project/django-thumbor,2017-12-10 16:34:38,7.0,1980.0,1980,True,1,,,,,,,,https://django-thumbor.readthedocs.io/en/latest/,
8,ThumborUrlBuilder,policymic/thumbor#readme,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/policymic/thumbor#readme,https://github.com/policymic/thumbor#readme,MIT,2014-03-03 19:22:12,2017-09-07 07:05:18.804,,,,13.0,,,3.0,,20.0,2017-09-07 07:05:18.804,0.1.5,6,Client Thumbor for Node JS.,11.0,,5.0,14,,,,,9681,False,1,,thumbor,https://www.npmjs.com/package/thumbor,2017-09-07 07:05:18.804,9681.0,,,,11.0
9,thumbor-ts,Brettm12345/thumbor-ts,,"['node', 'typescript', 'thumbor7']",js-url-and-framework,https://github.com/Brettm12345/thumbor-ts,https://github.com/Brettm12345/thumbor-ts,MIT,2019-10-28 14:36:41,2022-01-23 17:50:45.000,2022-01-23 17:50:43,471.0,34.0,1.0,,369.0,2.0,1.0,3.0,2020-10-10 16:53:28.549,1.3.91,30,Immutable TypeScript client for building Thumbor URLs.,10.0,7.0,5.0,14,,,,,861,True,1,,thumbor-ts,https://www.npmjs.com/package/thumbor-ts,2020-10-10 16:53:28.549,861.0,,,,3.0
