,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,docs_url,trending
0,thumbor,thumbor/thumbor,thumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/thumbor,https://github.com/thumbor/thumbor,MIT,2011-03-16 17:30:05,2022-03-16 21:11:08.000000,2022-03-16 13:17:10,2300.0,68.0,727.0,200.0,550.0,6.0,868.0,8866.0,2022-03-16 20:34:35,7.0.7,100.0,thumbor is an open-source photo thumbnail service by globo.com.,298.0,298.0,172.0,https://pypi.org/project/thumbor,6270.0,6270.0,34,True,1,,,,,,,,,,,,,,
1,gatsby-plugin-thumbor,vtex/faststore,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/vtex/faststore,https://github.com/vtex/faststore,MIT,2020-06-15 23:40:50,2022-03-23 19:35:35.000000,2022-03-23 15:42:17,3138.0,138.0,16.0,112.0,898.0,58.0,210.0,92.0,2022-03-04 13:12:50,1.6.0,9.0,Digital commerce toolkit for frontend developers.,33.0,33.0,58.0,,,10543.0,26,True,1,https://github.com/vtex/faststore/tree/master/packages/gatsby-plugin-thumbor,@vtex/gatsby-plugin-thumbor,https://www.npmjs.com/package/@vtex/gatsby-plugin-thumbor,10543.0,,,,,,,,,,
2,APSL Thumbor,APSL/docker-thumbor,,['docker'],hosting,https://github.com/APSL/docker-thumbor,https://github.com/APSL/docker-thumbor,MIT,2015-06-18 19:07:56,2021-11-17 18:44:40.000000,2017-04-18 07:37:47,163.0,,108.0,17.0,38.0,1.0,71.0,342.0,2017-03-27 14:32:19,6.3.0,10.0,"Docker image for thumbor. Detectors, optimizers, lazy detection and separate docker for remotecv.",,,16.0,,,117845.0,19,False,1,,,,,apsl/thumbor,https://hub.docker.com/r/apsl/thumbor,2019-12-17 16:40:20.048888,50.0,9545481.0,,,,,
3,tc_aws.storage,thumbor-community/aws,tc_aws,[],storage-and-result-storage,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2022-02-24 18:05:15.000000,2020-03-16 10:07:44,238.0,,68.0,14.0,62.0,13.0,80.0,144.0,2020-03-16 10:10:05,6.2.15,21.0,Thumbor AWS extensions.,,,34.0,https://pypi.org/project/tc_aws,1638.0,1638.0,18,False,1,,,,,,,,,,8.0,,,,
4,tc_aws.loaders,thumbor-community/aws,tc_aws,[],loaders,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2022-02-24 18:05:15.000000,2020-03-16 10:07:44,238.0,,68.0,14.0,62.0,13.0,80.0,144.0,2020-03-16 10:10:05,6.2.15,21.0,Thumbor AWS extensions.,,,34.0,https://pypi.org/project/tc_aws,1638.0,1638.0,18,False,1,,,,,,,,,,8.0,,,,
5,remotecv,thumbor/remotecv,remotecv,"['python3', 'thumbor7']",detectors,https://github.com/thumbor/remotecv,https://github.com/thumbor/remotecv,MIT,2012-01-04 12:09:00,2022-03-12 00:20:40.000000,2022-02-25 18:47:59,116.0,6.0,27.0,30.0,29.0,6.0,7.0,83.0,2020-03-05 22:41:20,3.0.0,4.0,remotecv is an OpenCV server for facial and feature recognition.,25.0,25.0,15.0,https://pypi.org/project/remotecv,1459.0,1459.0,18,True,1,,,,,,,,,,,,,,
6,ruby-thumbor,thumbor/ruby-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/thumbor/ruby-thumbor,https://github.com/thumbor/ruby-thumbor,MIT,2011-04-03 02:30:00,2022-01-30 12:51:04.000000,2022-01-30 12:49:18,175.0,22.0,12.0,21.0,20.0,,5.0,43.0,2022-01-28 02:08:19,4.0.0,2.0,ruby-thumbor is the client library to thumbor.,49.0,49.0,16.0,,,,18,True,1,,,,,,,,,,,,,,
7,Minimal Compact Thumbor,MinimalCompact/thumbor,,['docker'],hosting,https://github.com/MinimalCompact/thumbor,https://github.com/MinimalCompact/thumbor,MIT,2018-07-01 19:40:19,2022-01-21 17:14:34.800832,2022-01-09 16:29:33,143.0,2.0,59.0,11.0,48.0,5.0,51.0,235.0,,,,The quickest way to run thumbor.,,,21.0,,,64958.0,17,True,2,,,,,minimalcompact/thumbor,https://hub.docker.com/r/minimalcompact/thumbor,2022-01-21 17:14:34.800832,20.0,2858180.0,,,,,
8,libthumbor,thumbor/libthumbor,libthumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/libthumbor,https://github.com/thumbor/libthumbor,MIT,2011-03-30 17:31:59,2022-02-17 14:11:21.000000,2020-02-29 15:53:45,136.0,,29.0,25.0,31.0,3.0,12.0,56.0,2020-02-29 16:02:27,2.0.1,7.0,Pythons extensions to thumbor. These are used to generate safe urls among others.,,,17.0,https://pypi.org/project/libthumbor,14478.0,14478.0,17,False,3,,,,,,,,,,,,,,
9,thumbor-plugins-gifv,thumbor/thumbor-plugins,thumbor-plugins-gifv,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-03-17 08:52:13.000000,2022-03-17 08:51:00,137.0,66.0,18.0,19.0,56.0,2.0,11.0,29.0,2022-02-22 09:15:32,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,,,13.0,https://pypi.org/project/thumbor-plugins-gifv,226.0,226.0,15,True,1,,,,,,,,,,,,,,
