,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,github_release_downloads,trending,npm_dependent_project_count,docs_url
0,thumbor,thumbor/thumbor,thumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/thumbor,https://github.com/thumbor/thumbor,MIT,2011-03-16 17:30:05,2022-04-24 03:00:59.000000,2022-04-12 22:01:49,2308.0,27.0,760.0,199.0,554.0,12.0,871.0,8918.0,2022-04-03 02:59:42.000,7.0.8,100.0,thumbor is an open-source photo thumbnail service by globo.com.,505.0,304.0,174.0,33,https://pypi.org/project/thumbor,2022-04-03 02:57:05,201.0,5375.0,5375.0,True,1,,,,,,,,,,,,,,,,,,
1,gatsby-plugin-thumbor,vtex/faststore,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/vtex/faststore,https://github.com/vtex/faststore,MIT,2020-06-15 23:40:50,2022-04-27 18:21:39.000000,2022-04-27 18:21:38,3254.0,207.0,20.0,113.0,959.0,73.0,210.0,100.0,2022-04-09 14:39:17.708,1.7.19,292.0,Digital commerce toolkit for frontend developers.,53.0,53.0,60.0,28,,,,,9686.0,True,1,https://github.com/vtex/faststore/tree/master/packages/gatsby-plugin-thumbor,@vtex/gatsby-plugin-thumbor,https://www.npmjs.com/package/@vtex/gatsby-plugin-thumbor,2022-04-09 14:39:17.708,9686.0,,,,,,,,,,,,,
2,libthumbor,thumbor/libthumbor,libthumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/libthumbor,https://github.com/thumbor/libthumbor,MIT,2011-03-30 17:31:59,2022-04-22 23:03:49.000000,2022-04-02 20:55:30,140.0,4.0,34.0,25.0,37.0,7.0,15.0,56.0,2022-03-31 13:34:23.000,2.0.2,21.0,Pythons extensions to thumbor. These are used to generate safe urls among others.,109.0,,18.0,21,https://pypi.org/project/libthumbor,2022-03-31 13:32:59,109.0,13643.0,13643.0,True,3,,,,,,,,,,,,,,,,,,
3,APSL Thumbor,APSL/docker-thumbor,,['docker'],hosting,https://github.com/APSL/docker-thumbor,https://github.com/APSL/docker-thumbor,MIT,2015-06-18 19:07:56,2021-11-17 18:44:40.000000,2017-04-18 07:37:47,163.0,,109.0,17.0,38.0,25.0,71.0,341.0,2017-03-27 14:32:19.000,6.3.0,10.0,"Docker image for thumbor. Detectors, optimizers, lazy detection and separate docker for remotecv.",,,16.0,19,,,,,116979.0,False,1,,,,,,apsl/thumbor,https://hub.docker.com/r/apsl/thumbor,2019-12-17 16:40:20.048888,50.0,9592279.0,,,,,,,,
4,pollexor,square/pollexor,,"['java', 'thumbor7']",java-url-and-framework,https://github.com/square/pollexor,https://github.com/square/pollexor,Apache-2.0,2012-07-17 18:06:03,2022-04-08 20:33:59.000000,2022-04-08 20:33:58,156.0,4.0,89.0,23.0,36.0,2.0,10.0,624.0,2022-01-18 21:18:26.000,3.0.0,11.0,Java client for the Thumbor image service which allows you to build URIs in an expressive fashion using a fluent API.,17.0,,15.0,18,,,,,,True,1,,,,,,,,,,,com.squareup:pollexor,https://search.maven.org/artifact/com.squareup/pollexor,2022-01-18 21:18:26,17.0,,,,
5,tc_aws.storage,thumbor-community/aws,tc_aws,[],storage-and-result-storage,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2022-04-18 22:45:03.000000,2020-03-16 10:07:44,238.0,,69.0,14.0,63.0,14.0,80.0,148.0,2020-03-16 10:10:05.000,6.2.15,40.0,Thumbor AWS extensions.,5.0,,34.0,18,https://pypi.org/project/tc_aws,2018-10-17 11:40:22,5.0,928.0,928.0,False,1,,,,,,,,,,,,,,,8.0,,,
6,tc_aws.loaders,thumbor-community/aws,tc_aws,[],loaders,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2022-04-18 22:45:03.000000,2020-03-16 10:07:44,238.0,,69.0,14.0,63.0,14.0,80.0,148.0,2020-03-16 10:10:05.000,6.2.15,40.0,Thumbor AWS extensions.,5.0,,34.0,18,https://pypi.org/project/tc_aws,2018-10-17 11:40:22,5.0,928.0,928.0,False,1,,,,,,,,,,,,,,,8.0,,,
7,Minimal Compact Thumbor,MinimalCompact/thumbor,,['docker'],hosting,https://github.com/MinimalCompact/thumbor,https://github.com/MinimalCompact/thumbor,MIT,2018-07-01 19:40:19,2022-01-21 17:14:34.800832,2022-01-09 16:29:33,143.0,,61.0,12.0,48.0,5.0,51.0,238.0,,,,The quickest way to run thumbor.,,,21.0,17,,,,,64043.0,True,2,,,,,,minimalcompact/thumbor,https://hub.docker.com/r/minimalcompact/thumbor,2022-01-21 17:14:34.800832,20.0,2881967.0,,,,,,,,
8,remotecv,thumbor/remotecv,remotecv,"['python3', 'thumbor7']",detectors,https://github.com/thumbor/remotecv,https://github.com/thumbor/remotecv,MIT,2012-01-04 12:09:00,2022-03-12 00:20:40.000000,2022-02-25 18:47:59,116.0,3.0,27.0,29.0,29.0,10.0,7.0,83.0,2020-03-05 22:41:50.000,3.0.0,30.0,remotecv is an OpenCV server for facial and feature recognition.,32.0,26.0,16.0,17,https://pypi.org/project/remotecv,2020-03-05 22:41:50,6.0,888.0,888.0,True,1,,,,,,,,,,,,,,,,,,
9,ruby-thumbor,thumbor/ruby-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/thumbor/ruby-thumbor,https://github.com/thumbor/ruby-thumbor,MIT,2011-04-03 02:30:00,2022-01-30 12:51:04.000000,2022-01-30 12:49:18,175.0,8.0,12.0,21.0,20.0,,5.0,43.0,2022-01-28 02:08:19.000,4.0.0,2.0,ruby-thumbor is the client library to thumbor.,50.0,50.0,16.0,16,,,,,,True,1,,,,,,,,,,,,,,,,-1.0,,
