,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,trending,updated_github_id
0,thumbor,thumbor/thumbor,thumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/thumbor,https://github.com/thumbor/thumbor,MIT,2011-03-16 17:30:05,2022-11-02 20:30:49.000000,2022-11-01 20:36:51,2357.0,29.0,798.0,194.0,604.0,25.0,900.0,9208.0,2022-11-01 17:25:47.258,7.3.0,100.0,thumbor is an open-source photo thumbnail service by globo.com.,522.0,317.0,188.0,33,https://pypi.org/project/thumbor,2022-07-06 21:06:13,205.0,4408.0,4408.0,True,1,,,,,,,,,,,,,,,,,,,
1,gatsby-plugin-thumbor,vtex/faststore,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/vtex/faststore,https://github.com/vtex/faststore,MIT,2020-06-15 23:40:50,2022-11-04 17:47:24.000000,2022-11-04 17:47:23,3629.0,92.0,28.0,109.0,1213.0,74.0,215.0,137.0,2022-09-13 14:33:43.000,1.12.0,294.0,Digital commerce toolkit for frontend developers.,2.0,1.0,65.0,24,,,,,6209.0,True,1,https://github.com/vtex/faststore/tree/master/packages/gatsby-plugin-thumbor,@vtex/gatsby-plugin-thumbor,https://www.npmjs.com/package/@vtex/gatsby-plugin-thumbor,2022-08-17 15:48:58.811,1.0,6209.0,,,,,,,,,,,,,
2,libthumbor,thumbor/libthumbor,libthumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/libthumbor,https://github.com/thumbor/libthumbor,MIT,2011-03-30 17:31:59,2022-10-06 12:34:53.000000,2022-04-02 20:55:30,140.0,,34.0,23.0,39.0,7.0,15.0,59.0,2022-03-31 13:34:23.000,2.0.2,21.0,Pythons extensions to thumbor. These are used to generate safe urls among others.,109.0,,18.0,20,https://pypi.org/project/libthumbor,2022-03-31 13:32:59,109.0,12193.0,12193.0,True,3,,,,,,,,,,,,,,,,,,,
3,APSL Thumbor,APSL/docker-thumbor,,['docker'],hosting,https://github.com/APSL/docker-thumbor,https://github.com/APSL/docker-thumbor,MIT,2015-06-18 19:07:56,2022-05-17 10:44:43.000000,2017-04-18 07:37:47,163.0,,111.0,17.0,39.0,25.0,71.0,341.0,2017-03-27 14:32:19.000,6.3.0,10.0,"Docker image for thumbor. Detectors, optimizers, lazy detection and separate docker for remotecv.",,,15.0,19,,,,,110191.0,False,1,,,,,,,apsl/thumbor,https://hub.docker.com/r/apsl/thumbor,2019-12-17 16:40:20.048888,50.0,9807081.0,,,,,,,,
4,remotecv,thumbor/remotecv,remotecv,"['python3', 'thumbor7']",detectors,https://github.com/thumbor/remotecv,https://github.com/thumbor/remotecv,MIT,2012-01-04 12:09:00,2022-11-03 12:44:30.000000,2022-11-03 12:44:26,132.0,3.0,30.0,28.0,39.0,6.0,15.0,87.0,2022-07-06 19:42:51.000,3.2.2,34.0,remotecv is an OpenCV server for facial and feature recognition.,35.0,29.0,18.0,18,https://pypi.org/project/remotecv,2022-07-06 19:42:51,6.0,954.0,954.0,True,1,,,,,,,,,,,,,,,,,,,
5,tc_aws.storage,thumbor-community/aws,tc_aws,[],storage-and-result-storage,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2022-04-18 22:45:03.000000,2020-03-16 10:07:44,238.0,,67.0,14.0,63.0,14.0,80.0,150.0,2020-03-16 10:15:37.000,6.2.15,44.0,Thumbor AWS extensions.,,,34.0,17,https://pypi.org/project/tc_aws,2022-02-24 18:08:04,,466.0,466.0,False,1,,,,,,,,,,,,8.0,,,,,,,
6,tc_aws.loaders,thumbor-community/aws,tc_aws,[],loaders,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2022-04-18 22:45:03.000000,2020-03-16 10:07:44,238.0,,67.0,14.0,63.0,14.0,80.0,150.0,2020-03-16 10:15:37.000,6.2.15,44.0,Thumbor AWS extensions.,,,34.0,17,https://pypi.org/project/tc_aws,2022-02-24 18:08:04,,466.0,466.0,False,1,,,,,,,,,,,,8.0,,,,,,,
7,pollexor,square/pollexor,,"['java', 'thumbor7']",java-url-and-framework,https://github.com/square/pollexor,https://github.com/square/pollexor,Apache-2.0,2012-07-17 18:06:03,2022-10-24 20:43:13.000000,2022-10-24 20:43:11,158.0,2.0,89.0,23.0,37.0,2.0,10.0,626.0,2022-01-18 21:18:26.000,3.0.0,11.0,Java client for the Thumbor image service which allows you to build URIs in an expressive fashion using a fluent API.,17.0,,15.0,16,,,,,,True,1,,,,,,,,,,,,,com.squareup:pollexor,https://search.maven.org/artifact/com.squareup/pollexor,2022-01-18 21:18:26,17.0,,,
8,Minimal Compact Thumbor,MinimalCompact/thumbor,,['docker'],hosting,https://github.com/MinimalCompact/thumbor,https://github.com/MinimalCompact/thumbor,MIT,2018-07-01 19:40:19,2022-06-28 10:34:35.323382,2022-01-09 16:29:33,143.0,,66.0,13.0,50.0,5.0,51.0,251.0,,,,The quickest way to run thumbor.,,,21.0,16,,,,,58796.0,True,2,,,,,,,minimalcompact/thumbor,https://hub.docker.com/r/minimalcompact/thumbor,2022-06-28 10:34:35.323382,20.0,3057433.0,,,,,,,,
9,django-thumbor,ricobl/django-thumbor,django-thumbor,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/ricobl/django-thumbor,https://github.com/ricobl/django-thumbor,MIT,2012-12-16 20:27:56,2022-08-11 15:18:07.000000,2022-05-20 12:01:58,112.0,,19.0,2.0,19.0,2.0,9.0,88.0,2017-12-10 16:34:38.000,0.5.7,12.0,A django app with templatetags for resizing images with thumbor.,29.0,22.0,7.0,14,https://pypi.org/project/django-thumbor,2017-12-10 16:34:38,7.0,3733.0,3733.0,True,1,,,,,,,,,,,,,,,,,https://django-thumbor.readthedocs.io/en/latest/,,
