,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,updated_github_id
0,thumbor,thumbor/thumbor,thumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/thumbor,https://github.com/thumbor/thumbor,MIT,2011-03-16 17:30:05,2023-06-20 19:50:41.000000,2023-06-20 19:38:17,2392.0,8.0,810.0,199.0,625.0,12.0,937.0,9527.0,2023-06-20 20:05:00.514,7.5.1,109.0,thumbor is an open-source photo thumbnail service by globo.com.,548.0,339.0,195.0,32,https://pypi.org/project/thumbor,2022-12-20 01:31:56.417,209.0,5565.0,5565.0,True,1,,,,,,,,,,,,,,,,,,,
1,gatsby-plugin-thumbor,vtex/faststore,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/vtex/faststore,https://github.com/vtex/faststore,MIT,2020-06-15 23:40:50,2023-06-20 19:45:20.000000,2023-06-20 17:42:38,4066.0,221.0,30.0,101.0,1538.0,14.0,269.0,157.0,2022-09-13 14:33:43.000,1.12.0,294.0,Digital commerce toolkit for frontend developers.,6.0,3.0,69.0,26,,,,,2834.0,True,1,https://github.com/vtex/faststore/tree/master/packages/gatsby-plugin-thumbor,@vtex/gatsby-plugin-thumbor,https://www.npmjs.com/package/@vtex/gatsby-plugin-thumbor,2022-08-17 15:48:58.811,3.0,2834.0,,,,,,,,,,,,,
2,remotecv,thumbor/remotecv,remotecv,"['python3', 'thumbor7']",detectors,https://github.com/thumbor/remotecv,https://github.com/thumbor/remotecv,MIT,2012-01-04 12:09:00,2023-06-20 19:59:55.000000,2023-06-20 19:54:54,157.0,5.0,32.0,28.0,54.0,3.0,21.0,90.0,2023-06-15 17:27:32.000,5.1.2,44.0,remotecv is an OpenCV server for facial and feature recognition.,43.0,36.0,21.0,23,https://pypi.org/project/remotecv,2022-07-06 19:42:51.000,7.0,1280.0,1280.0,True,1,,,,,,,1.0,,,,,,,,,,,,
3,libthumbor,thumbor/libthumbor,libthumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/libthumbor,https://github.com/thumbor/libthumbor,MIT,2011-03-30 17:31:59,2023-05-13 12:32:19.000000,2022-04-02 20:55:30,140.0,,35.0,24.0,43.0,1.0,15.0,60.0,2022-03-31 13:34:23.000,2.0.2,21.0,Pythons extensions to thumbor. These are used to generate safe urls among others.,314.0,206.0,18.0,21,https://pypi.org/project/libthumbor,2022-03-31 13:32:59.000,108.0,14379.0,14379.0,False,3,,,,,,,,,,,,,,,,,,,
4,APSL Thumbor,APSL/docker-thumbor,,['docker'],hosting,https://github.com/APSL/docker-thumbor,https://github.com/APSL/docker-thumbor,MIT,2015-06-18 19:07:56,2022-05-17 10:44:43.000000,2017-04-18 07:37:47,163.0,,109.0,18.0,39.0,25.0,71.0,341.0,2017-03-27 14:32:19.000,6.3.0,10.0,"Docker image for thumbor. Detectors, optimizers, lazy detection and separate docker for remotecv.",,,15.0,19,,,,,103412.0,False,1,,,,,,,,apsl/thumbor,https://hub.docker.com/r/apsl/thumbor,2019-12-17 16:40:20.048888,50.0,9927593.0,,,,,,,
5,Minimal Compact Thumbor,MinimalCompact/thumbor,,['docker'],hosting,https://github.com/MinimalCompact/thumbor,https://github.com/MinimalCompact/thumbor,MIT,2018-07-01 19:40:19,2023-06-14 11:34:49.000000,2023-06-13 16:11:58,153.0,10.0,77.0,13.0,74.0,1.0,60.0,267.0,,,,The quickest way to run thumbor.,,,23.0,19,,,,,55793.0,True,1,,,,,,,,minimalcompact/thumbor,https://hub.docker.com/r/minimalcompact/thumbor,2023-04-26 14:23:16.465233,22.0,3291811.0,,,,,,,
6,tc_aws.storage,thumbor-community/aws,tc_aws,[],storage-and-result-storage,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2022-12-07 17:19:18.000000,2022-12-07 16:24:38,254.0,,68.0,13.0,63.0,5.0,90.0,150.0,2022-12-07 16:30:02.797,7.0.2,45.0,Thumbor AWS extensions.,1.0,,37.0,17,https://pypi.org/project/tc_aws,2022-12-07 16:30:02.797,1.0,730.0,730.0,True,1,,,,,,,,,,,,,8.0,,,,,,
7,tc_aws.loaders,thumbor-community/aws,tc_aws,[],loaders,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2022-12-07 17:19:18.000000,2022-12-07 16:24:38,254.0,,68.0,13.0,63.0,5.0,90.0,150.0,2022-12-07 16:30:02.797,7.0.2,45.0,Thumbor AWS extensions.,1.0,,37.0,17,https://pypi.org/project/tc_aws,2022-12-07 16:30:02.797,1.0,730.0,730.0,True,1,,,,,,,,,,,,,8.0,,,,,,
8,pollexor,square/pollexor,,"['java', 'thumbor7']",java-url-and-framework,https://github.com/square/pollexor,https://github.com/square/pollexor,Apache-2.0,2012-07-17 18:06:03,2023-03-18 22:57:39.000000,2023-02-20 22:15:00,160.0,,89.0,22.0,38.0,2.0,10.0,631.0,2022-01-18 21:18:26.000,3.0.0,11.0,Java client for the Thumbor image service which allows you to build URIs in an expressive fashion using a fluent API.,17.0,,15.0,16,,,,,,True,1,,,,,,,,,,,,,,com.squareup:pollexor,https://search.maven.org/artifact/com.squareup/pollexor,2022-01-18 21:18:26,17.0,,
9,django-thumbor,ricobl/django-thumbor,django-thumbor,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/ricobl/django-thumbor,https://github.com/ricobl/django-thumbor,MIT,2012-12-16 20:27:56,2023-04-21 21:52:50.000000,2022-05-20 12:01:58,112.0,,18.0,2.0,23.0,2.0,9.0,87.0,2017-12-10 16:34:38.000,0.5.7,12.0,A django app with templatetags for resizing images with thumbor.,30.0,23.0,7.0,15,https://pypi.org/project/django-thumbor,2017-12-10 16:34:38.000,7.0,3072.0,3072.0,False,1,,,,,,,,,,,,,,,,,,https://django-thumbor.readthedocs.io/en/latest/,
