,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,updated_github_id
0,thumbor,thumbor/thumbor,thumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/thumbor,https://github.com/thumbor/thumbor,MIT,2011-03-16 17:30:05,2025-02-01 20:47:50.000000,2024-11-12 20:40:17,2446.0,1.0,830.0,203.0,708.0,24.0,991.0,10176.0,2024-03-04 20:46:54.000,7.7.4,116.0,thumbor is an open-source photo thumbnail service by globo.com.,413.0,366.0,202.0,31,https://pypi.org/project/thumbor,2024-03-04 20:31:35.000,47.0,18613.0,18613.0,True,1,,,,,,,,,,,,,,,,,,,
1,gatsby-plugin-thumbor,vtex/faststore,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/vtex/faststore,https://github.com/vtex/faststore,MIT,2020-06-15 23:40:50,2025-02-06 20:14:11.000000,2025-02-06 19:54:07,4886.0,126.0,63.0,92.0,2292.0,68.0,327.0,195.0,2025-01-15 19:54:38.000,3.7.0,316.0,Digital commerce toolkit for frontend developers.,6.0,,105.0,26,,,,,2293.0,True,1,https://github.com/vtex/faststore/tree/master/packages/gatsby-plugin-thumbor,@vtex/gatsby-plugin-thumbor,https://www.npmjs.com/package/@vtex/gatsby-plugin-thumbor,2022-08-17 15:48:58.811,6.0,2293.0,,,,,,,,,,,,,
2,remotecv,thumbor/remotecv,remotecv,"['python3', 'thumbor7']",detectors,https://github.com/thumbor/remotecv,https://github.com/thumbor/remotecv,MIT,2012-01-04 12:09:00,2024-01-08 19:23:27.000000,2024-01-08 19:19:36,171.0,,34.0,31.0,64.0,1.0,21.0,99.0,2024-01-08 19:23:27.000,5.1.8,50.0,remotecv is an OpenCV server for facial and feature recognition.,47.0,44.0,24.0,21,https://pypi.org/project/remotecv,2024-01-08 19:23:27.000,3.0,7186.0,7186.0,False,1,,,,,,,,,,,,,,,,,,,
3,libthumbor,thumbor/libthumbor,libthumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/libthumbor,https://github.com/thumbor/libthumbor,MIT,2011-03-30 17:31:59,2023-05-13 12:32:19.000000,2022-04-02 20:55:30,140.0,,34.0,28.0,43.0,3.0,15.0,62.0,2022-03-31 13:34:23.000,2.0.2,21.0,Pythons extensions to thumbor. These are used to generate safe urls among others.,238.0,227.0,18.0,20,https://pypi.org/project/libthumbor,2022-03-31 13:32:59.000,11.0,27965.0,27965.0,False,3,,,,,,,,,,,,,,,,,,,
4,APSL Thumbor,APSL/docker-thumbor,,['docker'],hosting,https://github.com/APSL/docker-thumbor,https://github.com/APSL/docker-thumbor,MIT,2015-06-18 19:07:56,2022-05-17 10:44:43.000000,2017-04-18 07:37:47,163.0,,109.0,17.0,39.0,25.0,71.0,343.0,2017-03-27 14:32:19.000,6.3.0,10.0,"Docker image for thumbor. Detectors, optimizers, lazy detection and separate docker for remotecv.",,,15.0,19,,,,,87558.0,False,1,,,,,,,apsl/thumbor,https://hub.docker.com/r/apsl/thumbor,2019-12-17 16:40:20.048888,50.0,10156729.0,,,,,,,,
5,Minimal Compact Thumbor,MinimalCompact/thumbor,,['docker'],hosting,https://github.com/MinimalCompact/thumbor,https://github.com/MinimalCompact/thumbor,MIT,2018-07-01 19:40:19,2025-01-31 11:18:48.000000,2024-10-02 10:14:32,163.0,,88.0,15.0,86.0,1.0,80.0,312.0,,,,The quickest way to run thumbor.,,,28.0,19,,,,,94587.0,True,1,,,,,,,minimalcompact/thumbor,https://hub.docker.com/r/minimalcompact/thumbor,2023-04-26 14:23:16.465233,26.0,7472403.0,,,,,,,,
6,tc_aws.storage,thumbor-community/aws,tc_aws,[],storage-and-result-storage,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2023-07-24 09:16:22.000000,2022-12-07 16:24:38,254.0,,71.0,13.0,64.0,5.0,90.0,156.0,2022-12-07 16:30:02.797,7.0.2,45.0,Thumbor AWS extensions.,2.0,,37.0,18,https://pypi.org/project/tc_aws,2022-12-07 16:30:02.797,2.0,2260.0,2260.0,False,1,,,,,,,,,,,,14.0,,,,,,,
7,tc_aws.loaders,thumbor-community/aws,tc_aws,[],loaders,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2023-07-24 09:16:22.000000,2022-12-07 16:24:38,254.0,,71.0,13.0,64.0,5.0,90.0,156.0,2022-12-07 16:30:02.797,7.0.2,45.0,Thumbor AWS extensions.,2.0,,37.0,18,https://pypi.org/project/tc_aws,2022-12-07 16:30:02.797,2.0,2260.0,2260.0,False,1,,,,,,,,,,,,14.0,,,,,,,
8,thumbor-plugins-gifv,thumbor/thumbor-plugins,thumbor-plugins-gifv,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,24.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:58.000,0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,24.0,23.0,15.0,18,https://pypi.org/project/thumbor-plugins-gifv,2024-01-08 18:58:58.000,1.0,11476.0,11476.0,True,1,,,,,,,,,,,,,,,,,,,
9,thumbor-aws S3 Storages and S3 Result Storage,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",storage-and-result-storage,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2025-01-28 19:49:15.000000,2024-12-19 15:37:49,227.0,10.0,18.0,6.0,264.0,2.0,30.0,25.0,2024-09-02 21:11:46.000,0.8.1,11.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,9.0,18,https://pypi.org/project/thumbor-aws,2024-03-14 20:52:04.000,,1105.0,1105.0,True,1,,,,,,,,,,,,,1.0,,,,,,
10,thumbor-aws S3 loader,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",loaders,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2025-01-28 19:49:15.000000,2024-12-19 15:37:49,227.0,10.0,18.0,6.0,264.0,2.0,30.0,25.0,2024-09-02 21:11:46.000,0.8.1,11.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,9.0,18,https://pypi.org/project/thumbor-aws,2024-03-14 20:52:04.000,,1105.0,1105.0,True,1,,,,,,,,,,,,,1.0,,,,,,
11,pollexor,square/pollexor,,"['java', 'thumbor7']",java-url-and-framework,https://github.com/square/pollexor,https://github.com/square/pollexor,Apache-2.0,2012-07-17 18:06:03,2024-08-07 18:26:54.000000,2024-08-07 18:26:52,173.0,,86.0,21.0,46.0,2.0,10.0,641.0,2022-01-18 21:18:26.000,3.0.0,11.0,Java client for the Thumbor image service which allows you to build URIs in an expressive fashion using a fluent API.,7.0,,16.0,15,,,,,,True,1,,,,,,,,,,,,,,com.squareup:pollexor,https://search.maven.org/artifact/com.squareup/pollexor,2022-01-18 21:18:26,7.0,,
12,ruby-thumbor,thumbor/ruby-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/thumbor/ruby-thumbor,https://github.com/thumbor/ruby-thumbor,MIT,2011-04-03 02:30:00,2022-01-30 12:51:04.000000,2022-01-30 12:49:18,175.0,,13.0,26.0,20.0,,5.0,46.0,2022-01-28 02:08:19.000,4.0.0,2.0,ruby-thumbor is the client library to thumbor.,114.0,114.0,17.0,15,,,,,,False,1,,,,,,,,,,,,,,,,,,,
13,thumbor-plugins-mozjpeg,thumbor/thumbor-plugins,thumbor-plugins-mozjpeg,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,24.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,23.0,23.0,15.0,15,https://pypi.org/project/thumbor-plugins-mozjpeg,2023-11-07 23:04:42.000,,194.0,194.0,True,2,,,,,,,,,,,,,,,,,,,
